epoch,train_loss,val_loss,val_dice
1,1.8153513019735164,3.168401739814065,27.023986876010902
2,1.5359461144967512,1.751673470843922,72.01355278491974
3,1.41563757983121,1.7231750379909168,59.37162399291993
4,1.3291624784469604,2.0382402376695112,3.831891342997551
5,1.2625922235575588,2.0196539813821968,16.370237767696384
6,1.2249873307618229,1.909479932351546,42.37453997135162
7,1.179552584886551,1.7917774807323108,37.40754187107086
8,1.138532893224196,1.7677748636765913,33.158174157142646
9,1.1061600148677826,1.789300019090826,45.85660219192505
10,1.0884428891268643,1.6078647483478894,55.426083803176894
11,1.0342615815726193,1.7349262020804666,39.623259902000406
12,1.067288880998438,1.715543356808749,51.95048093795778
13,1.0717713670297102,1.672661456194791,45.43755173683167
14,1.0248289541764692,1.7295499714938076,59.57782506942749
15,1.0293371948328884,1.6369322321631692,56.336150169372544
16,0.9458815617994829,1.7307213002985173,56.61818027496338
17,1.0431663366881283,1.709948257966475,43.30037444829941
18,0.9614247950640592,1.5918655070391567,62.88016259670266
19,0.9804905002767389,1.5329658334905452,62.623848319053664
20,0.9116834104061127,1.695121949369257,65.3777641057968
21,0.8949859602884813,1.6469347802075474,61.21097803115845
22,0.9796465283090418,1.5499638427387585,58.698028326034546
23,0.9129281775517897,1.6040306199680676,63.495755195617676
24,0.9158552695404399,1.5496635870500044,58.80488753318788
25,0.8917058814655651,1.6589744741266423,65.13673782348634
26,0.9003621990030463,1.5302214947613804,64.55307960510254
27,0.907997957684777,1.6206235018643467,62.053778767585754
28,0.9646184525706551,1.5718755613673816,51.78891897201539
29,0.8786179911006581,1.5368004170331089,54.41513657569885
30,0.9103972342881289,1.6300264922055332,49.79003757238391
